
Geneid	SRR28411569	SRR28411570	SRR28411571	SRR28411572
YDL158C	110	188	17	95
YDL185W	110314	90497	124932	131155
YDR251W	5333	4210	1563	2104
tL(UAA)D	2	0	0	2
YDR192C	826	692	347	508
YDR368W	7239	6247	3843	5915
YDR494W	1754	1701	797	1153
YDR399W	7785	6976	6117	8525
YDR070C	2291	2143	255	377
YDR138W	850	679	389	673
YDR031W	1093	948	253	566
YDR255C	1177	1077	352	564
YDL060W	1077	992	1681	2314
YDR048C	9	14	1	6
YDR067C	836	722	358	554
YDR126W	607	565	289	508
YDR315C	485	531	137	282
YDL126C	24183	20059	14771	18214
YDR262W	4713	3988	1937	2872
tQ(UUG)D3	3	0	0	0
YDR345C	3285	2667	28925	41894
YDR079W	966	1007	410	546
YDR433W	7	17	4	3
YDL144C	1632	1391	812	1153
YDR306C	1592	1493	695	1037
YDR292C	1928	1793	1500	2137
YDL009C	105	95	59	89
YDR290W	0	0	0	0
YDR282C	510	360	209	331
YDR170C	7951	6178	6025	8418
YDR174W	4231	3562	3316	3561
YDL218W	250	246	60	111
YDL062W	3	10	0	0
YDL048C	3062	2379	740	1650
YDR500C	12799	11440	13278	17700
YDR112W	94	86	36	59
YDR538W	128	109	51	119
YDL011C	1	1	0	0
YDR355C	0	0	0	0
YDR301W	2784	2197	1379	2172
YDR412W	26	19	23	46
YDR530C	1497	1303	1141	1050
YDR227W	1016	918	790	895
YDR041W	2273	1908	772	1354
YDR015C	0	0	0	0
YDL008W	693	671	520	757
YDR234W	3273	2760	3876	4441
YDR511W	933	824	498	616
YDR519W	1143	1001	739	1400
YDL086C-A	0	0	0	0
YDR250C	141	137	18	66
YDR465C	617	516	1125	1236
YDL001W	759	647	321	497
YDR454C	5678	5090	4822	6786
YDR013W	571	504	213	351
YDR076W	419	363	234	316
YDL095W	16939	14487	10639	18019
YDL007C-A	0	3	0	0
YDL130W	9931	8463	9015	14750
YDR100W	4017	3451	1127	2269
YDR479C	2157	1851	1279	1317
tS(AGA)D1	1	0	0	0
YDL117W	2181	1843	1378	1760
YDR140W	886	810	406	769
YDR381W	15665	13734	7242	6026
tQ(UUG)D2	0	3	0	0
YDR327W	290	314	82	278
YDR062W	11951	10326	6960	9926
YDR143C	2442	2246	1486	1813
YDL172C	1	0	0	2
YDL053C	2211	1872	1006	1238
YDR223W	550	374	168	414
YDL037C	19	5	17	72
YDL167C	1380	1237	1610	2525
YDR246W-A	7	16	3	13
YDR371C-A	0	0	0	0
YDR517W	4200	3562	3565	3749
YDL226C	1923	1841	2264	2529
YDR467C	29	34	9	25
YDL134C	7299	6225	2996	4386
YDR117C	1121	917	651	883
YDR314C	584	489	385	486
YDR440W	434	389	337	517
YDR303C	1675	1699	1102	1667
YDL078C	7636	6910	4546	5705
YDL238C	1367	1202	540	711
YDR529C	7999	6866	1719	2824
YDR437W	358	302	285	309
snR47	184	231	25	124
YDL196W	47	30	0	23
YDR452W	4569	3763	2721	3603
YDR445C	0	0	0	0
YDR347W	4255	3553	2213	3463
tQ(UUG)D1	4	3	2	0
YDR490C	2340	2043	764	1024
YDR516C	22512	17848	6955	8695
YDR509W	2	0	0	2
YDL193W	1920	1795	1244	1344
YDL137W	10358	8951	4684	8458
YDL118W	11	11	12	12
YDR235W	1541	1613	731	1101
YDR233C	7706	6553	5199	6971
YDR388W	5779	4645	2337	2832
YDR209C	300	361	207	245
YDR049W	667	580	566	468
YDL194W	3389	2524	1067	1517
YDR021W	364	342	342	626
YDR353W	6960	6144	4209	6423
YDR051C	1197	1094	804	1029
YDR288W	899	895	461	709
YDR141C	4572	3428	1826	3510
YDR194C	4151	3621	2816	3960
YDR424C	757	700	422	616
YDR054C	2579	2249	1109	1593
YDR122W	3305	2349	850	1222
YDR184C	535	459	320	518
YDR183C-A	19	41	3	6
YDL240W	2690	2507	1770	2319
YDR056C	2108	1821	1374	1717
YDR541C	1144	946	679	980
YDL042C	490	415	312	493
YDR185C	830	619	357	359
YDR328C	1646	1680	2043	1334
YDR280W	873	739	676	986
tV(UAC)D	10	11	6	23
YDR098C	1906	1636	1090	1836
YDR005C	1817	1607	919	1220
YDR423C	767	606	297	536
YDR017C	3355	2758	2157	2539
YDR419W	816	772	618	825
YDR444W	1429	1354	868	1356
YDR341C	9004	7981	9050	12411
YDR154C	2278	2294	345	1576
YDR464W	996	683	608	866
YDR132C	615	611	347	592
YDL210W	107	128	52	132
YDR395W	8874	8185	7532	9946
YDL222C	1025	1081	114	137
YDR372C	5043	4697	3423	4287
YDR325W	1981	1671	1222	1555
YDR216W	8233	7178	1457	2335
YDR082W	833	697	512	616
YDL224C	3045	2178	887	1621
YDR498C	1224	1103	1020	1001
YDR010C	38	25	13	29
YDR006C	1718	1110	585	1396
YDR182W	3009	2538	1419	1993
YDL102W	1640	1420	1069	1755
YDL179W	677	657	384	619
YDL067C	3547	2950	878	1610
YDR030C	356	273	141	308
YDR020C	283	202	186	433
YDR527W	463	414	295	536
YDR333C	2328	2013	1551	1816
YDL093W	3764	3045	2395	3183
YDL043C	349	302	183	305
YDR139C	1015	863	862	1109
YDR322C-A	1623	1336	400	766
YDL130W-A	998	733	285	308
YDR210W	0	0	0	0
YDR260C	375	255	334	390
YDL017W	619	601	348	535
YDR073W	769	627	450	528
YDL069C	128	148	45	74
YDR455C	15	14	14	11
YDR461W	2235	2049	598	1395
YDR435C	1783	1376	844	1279
YDL063C	1012	931	1391	2056
YDR121W	461	425	389	564
YDR178W	3502	3068	641	1342
YDL013W	690	471	437	557
YDR534C	163	111	50	86
YDR392W	487	295	164	238
YDR034C-A	50	43	46	29
YDL132W	5588	4825	1968	2846
YDR535C	75	63	27	33
YDR202C	762	691	245	394
YDL050C	6	9	1	3
YDR524C-A	0	0	0	0
YDL109C	352	324	192	289
YDR211W	4993	4201	4015	5302
YDR110W	669	633	608	926
tG(CCC)D	1	1	0	1
YDR274C	200	145	253	221
YDR167W	240	178	160	219
YDR156W	564	518	351	537
YDL223C	2584	2728	302	398
YDR075W	673	609	480	692
YDR039C	11	19	21	21
YDL088C	1921	1723	641	1249
YDL129W	289	251	287	242
YDL215C	6573	5970	3146	3514
YDR297W	8446	6177	6903	8791
YDR131C	781	716	364	484
YDR230W	70	44	13	26
YDR348C	2898	2446	1161	1729
YDL169C	499	375	64	90
YDR007W	464	431	328	577
YDL195W	6219	3495	2511	4463
YDR263C	1159	926	253	386
YDR220C	76	47	0	21
YDR429C	3494	3221	2870	5276
YDR119W-A	2710	2370	188	263
YDR421W	1017	905	492	660
YDL186W	115	91	160	241
YDL198C	1315	1014	1046	1273
YDL120W	1634	1361	482	1150
YDR379W	1823	1692	838	1105
YDL029W	10296	9108	6201	7566
YDR205W	1585	1313	610	1074
YDR094W	0	0	0	0
YDR369C	683	596	402	514
YDR088C	213	180	124	162
YDR411C	3758	3276	1457	2442
YDR441C	969	837	470	591
YDR446W	4	17	2	10
YDL183C	296	278	86	177
YDR194W-A	0	0	0	1
YDR114C	7	10	0	5
YDR442W	28	20	9	21
tK(CUU)D2	0	0	0	0
YDL059C	130	106	43	104
YDR016C	574	546	301	591
YDR430C	2212	1867	935	1698
YDR366C	16	13	5	28
YDR374W-A	483	425	192	348
YDR293C	13951	10595	3343	5900
YDR459C	1979	1680	1088	1398
YDR022C	522	458	232	259
YDR217C	1303	1085	1146	1404
YDR052C	889	658	346	480
YDL027C	1782	1639	555	638
YDR104C	815	699	401	563
YDL136W	4604	4213	8753	7411
YDR248C	964	904	444	560
YDR078C	243	261	140	189
YDR068W	267	263	211	307
YDL080C	1400	1230	1036	1405
YDR461C-A	329	330	63	112
YDR252W	145	100	101	148
YDL046W	4881	4584	1258	2722
YDR540C	164	188	81	121
YDR181C	550	458	365	440
YDL200C	298	275	74	191
YDR108W	1206	1218	847	1097
YDR337W	1566	1290	730	1270
YDR356W	5513	4770	752	998
YDL235C	1261	1154	716	998
YDR320W-B	19	25	6	15
